97997.120 916386.260     296.760 SOFT 2
97991.630 916379.820     296.760 SOFT 2
97985.140 916373.800     297.170 SOFT 2
97979.550 916366.450     297.250 SOFT 2
97975.510 916357.280     297.250 SOFT 2
97973.430 916347.270     297.250 SOFT 2
97973.640 916336.410     297.250 SOFT 2
97975.420 916325.770     297.250 SOFT 2
97976.380 916315.310     297.250 SOFT 2
97976.350 916305.030     297.250 SOFT 2
97976.250 916295.490     297.250 SOFT 2
97976.980 916286.590     297.250 SOFT 2
97979.690 916278.580     297.250 SOFT 2
97983.810 916271.960     297.250 SOFT 2
97989.270 916266.550     297.250 SOFT 2
97995.490 916263.280     297.250 SOFT 2
98002.060 916262.800     297.250 SOFT 2
98008.740 916263.960     297.250 SOFT 2
98015.990 916265.120     297.250 SOFT 2
98016.650 916265.110     297.250 SOFT 4
98005.310 916274.530     301.530 SOFT 1
98005.640 916281.600     301.530 SOFT 2
98007.780 916290.130     301.780 SOFT 2
98011.660 916298.980     302.100 SOFT 2
98016.860 916307.730     302.100 SOFT 2
98022.220 916317.050     302.100 SOFT 2
98027.090 916326.130     302.100 SOFT 2
98031.450 916334.310     302.100 SOFT 2
98034.830 916342.420     302.100 SOFT 2
98037.540 916349.380     302.100 SOFT 2
98040.560 916354.620     302.100 SOFT 2
98040.980 916355.760     302.100 SOFT 4
98265.990 914841.510     411.190 SOFT 1
98263.670 914847.780     411.190 SOFT 2
98260.690 914853.660     411.190 SOFT 2
98257.060 914860.690     411.110 SOFT 2
98253.860 914869.030     410.370 SOFT 2
98250.830 914878.030     410.040 SOFT 2
98248.470 914888.090     409.710 SOFT 2
98246.940 914898.970     408.400 SOFT 2
98245.660 914909.680     407.240 SOFT 2
98244.450 914920.060     406.590 SOFT 2
98241.850 914930.780     406.340 SOFT 2
98237.860 914942.180     405.190 SOFT 2
98235.610 914947.800     404.450 SOFT 2
98230.380 914958.550     403.460 SOFT 2
98224.560 914968.570     402.800 SOFT 2
98221.330 914973.870     402.720 SOFT 2
98218.180 914979.330     402.310 SOFT 2
98215.190 914984.790     401.400 SOFT 2
98212.370 914990.090     400.500 SOFT 2
98206.800 915000.020     399.020 SOFT 2
98202.050 915010.270     397.950 SOFT 2
98197.880 915020.350     396.710 SOFT 2
98194.520 915029.110     395.890 SOFT 2
98193.680 915035.130     396.140 SOFT 2
98193.090 915041.800     394.660 SOFT 2
98190.780 915048.900     393.180 SOFT 2
98188.790 915054.840     392.350 SOFT 2
98186.550 915060.790     390.630 SOFT 2
98183.980 915067.230     389.390 SOFT 2
98180.100 915073.530     387.500 SOFT 2
98175.900 915080.810     385.850 SOFT 2
98173.030 915089.230     384.780 SOFT 2
98171.150 915098.390     383.140 SOFT 2
98169.600 915107.210     381.740 SOFT 2
98168.760 915113.300     381.080 SOFT 2
98167.590 915119.650     379.270 SOFT 2
98164.790 915126.920     376.720 SOFT 2
98163.160 915135.500     375.570 SOFT 2
98161.700 915145.220     375.320 SOFT 2
98161.220 915154.270     375.080 SOFT 2
98160.820 915163.580     373.350 SOFT 2
98159.440 915172.390     371.700 SOFT 2
98156.720 915179.740     370.220 SOFT 2
98152.840 915186.370     368.820 SOFT 2
98148.710 915192.500     367.760 SOFT 2
98144.510 915199.870     366.520 SOFT 2
98144.180 915207.600     365.950 SOFT 2
98144.240 915213.690     365.290 SOFT 2
98144.280 915217.310     363.480 SOFT 4
98123.930 914766.260     425.920 SOFT 1
98124.590 914759.090     425.920 SOFT 2
98126.610 914747.470     425.920 SOFT 2
98127.850 914740.790     425.920 SOFT 2
98129.180 914733.950     425.920 SOFT 2
